chain,layer,feature_idx,rank,stage_from,stage_to,dec_cos,dec_drift,enc_cos,density_start,density_end
strict,6,3952,12,instruct_base,ppo_step116,0.08240209519863129,0.9175978899002075,0.2747634947299957,0.00011217301653232425,0.002019114326685667
strict,6,1833,13,instruct_base,ppo_step116,0.08376297354698181,0.9162369966506958,0.43774884939193726,0.0008525149314664304,0.010095571167767048
strict,6,6840,14,instruct_base,ppo_step116,0.08452656865119934,0.915473461151123,0.4540817141532898,0.0,0.0012339032255113125
strict,6,2141,15,instruct_base,ppo_step116,0.08456362783908844,0.9154363870620728,0.1340041607618332,0.0003813882649410516,0.45524296164512634
strict,6,6494,16,instruct_base,ppo_step116,0.08481353521347046,0.9151864647865295,0.30046242475509644,0.0002019114326685667,0.0058329966850578785
strict,6,5213,17,instruct_base,ppo_step116,0.08504322916269302,0.9149567484855652,0.4190255403518677,8.973841613624245e-05,0.0022210257593542337
strict,6,4521,18,instruct_base,ppo_step116,0.08666131645441055,0.9133386611938477,0.31502601504325867,0.00011217301653232425,0.003208148293197155
strict,6,5910,19,instruct_base,ppo_step116,0.08756959438323975,0.9124304056167603,0.5052679777145386,4.4869208068121225e-05,0.0025799793656915426
strict,6,2619,20,instruct_base,ppo_step116,0.08811675012111664,0.9118832349777222,0.3925747573375702,2.2434604034060612e-05,0.004756135866045952
strict,12,2349,1,instruct_base,ppo_step116,0.044439781457185745,0.9555602073669434,0.44070374965667725,0.007066899910569191,0.007605330552905798
strict,12,4058,2,instruct_base,ppo_step116,0.0449698343873024,0.9550301432609558,0.3395722508430481,0.0,0.0075604612939059734
strict,12,4595,3,instruct_base,ppo_step116,0.05254238843917847,0.9474576115608215,0.2297545075416565,0.00013460761692840606,0.0043523130007088184
strict,12,4844,4,instruct_base,ppo_step116,0.05654916167259216,0.9434508085250854,0.24145396053791046,8.973841613624245e-05,0.005025350954383612
strict,12,4514,5,instruct_base,ppo_step116,0.07852650433778763,0.921473503112793,0.4288645386695862,8.973841613624245e-05,0.004285009112209082
strict,12,5038,6,instruct_base,ppo_step116,0.078667052090168,0.9213329553604126,0.3585103154182434,2.2434604034060612e-05,0.0017050298629328609
strict,12,7143,7,instruct_base,ppo_step116,0.0824153944849968,0.9175845980644226,0.3727349638938904,0.00594516983255744,0.014044061303138733
strict,12,3121,8,instruct_base,ppo_step116,0.08293970674276352,0.9170603156089783,0.3232647478580475,0.0,0.012024947442114353
strict,12,2171,9,instruct_base,ppo_step116,0.08628875017166138,0.9137112498283386,0.2908318340778351,0.000448692066129297,0.002826760057359934
strict,12,3425,10,instruct_base,ppo_step116,0.08693632483482361,0.913063645362854,0.3377264440059662,0.00031408443464897573,0.008525148965418339
strict,12,6984,11,instruct_base,ppo_step116,0.08758072555065155,0.9124192595481873,0.466062992811203,8.973841613624245e-05,0.0029389329720288515
strict,12,5297,12,instruct_base,ppo_step116,0.09709912538528442,0.9029008746147156,0.29062002897262573,0.00031408443464897573,0.007672634441405535
strict,12,633,13,instruct_base,ppo_step116,0.10000307857990265,0.8999969363212585,0.3957439661026001,8.973841613624245e-05,0.0023331986740231514
strict,12,4164,14,instruct_base,ppo_step116,0.10075065493583679,0.8992493152618408,0.3747883141040802,0.0003813882649410516,0.0010095571633428335
strict,12,5798,15,instruct_base,ppo_step116,0.10075551271438599,0.899244487285614,0.39024269580841064,2.2434604034060612e-05,0.004105532541871071
strict,12,5180,16,instruct_base,ppo_step116,0.10181677341461182,0.8981832265853882,0.37508687376976013,0.0002916498342528939,0.0032530175521969795
strict,12,3427,17,instruct_base,ppo_step116,0.10200285166501999,0.8979971408843994,0.3887297213077545,0.0001794768322724849,0.002535110106691718
strict,12,4717,18,instruct_base,ppo_step116,0.10343169420957565,0.8965682983398438,0.40295594930648804,0.0002019114326685667,0.001637725974433124
strict,12,697,19,instruct_base,ppo_step116,0.1058168113231659,0.8941831588745117,0.4072166085243225,0.030982187017798424,0.00834567192941904
strict,12,1948,20,instruct_base,ppo_step116,0.10699820518493652,0.8930017948150635,0.388507217168808,0.0014806838007643819,0.003926055505871773
strict,18,6424,1,instruct_base,ppo_step116,-0.10419322550296783,1.1041932106018066,0.1944042444229126,4.4869208068121225e-05,0.001189033966511488
strict,18,1244,2,instruct_base,ppo_step116,-0.09068647772073746,1.0906864404678345,0.2272094041109085,6.730380846420303e-05,0.001570422202348709
strict,18,3390,3,instruct_base,ppo_step116,-0.08327444642782211,1.083274483680725,-0.03135870397090912,0.00013460761692840606,0.0014582491712644696
strict,18,6995,4,instruct_base,ppo_step116,-0.08111146837472916,1.0811114311218262,0.15824374556541443,0.0,0.0019966796971857548
strict,18,7149,5,instruct_base,ppo_step116,-0.07478095591068268,1.0747809410095215,0.16500526666641235,8.973841613624245e-05,0.001794768264517188
strict,18,4344,6,instruct_base,ppo_step116,-0.06825511902570724,1.068255066871643,0.6897804737091064,0.0004711266665253788,0.01662404090166092
strict,18,5521,7,instruct_base,ppo_step116,-0.06397000700235367,1.0639699697494507,0.24608094990253448,0.00493561290204525,0.0016825952334329486
strict,18,661,8,instruct_base,ppo_step116,-0.06367982178926468,1.063679814338684,0.1254928559064865,0.001637725974433124,0.002310764044523239
strict,18,5714,9,instruct_base,ppo_step116,-0.06349051743745804,1.0634905099868774,0.15073934197425842,0.0021312872413545847,0.004105532541871071
strict,18,2396,10,instruct_base,ppo_step116,-0.059584442526102066,1.0595844984054565,0.08329574018716812,6.730380846420303e-05,0.001189033966511488
strict,18,5599,11,instruct_base,ppo_step116,-0.045768994837999344,1.0457689762115479,-0.04003872722387314,0.0008076457306742668,0.0017274644924327731
strict,18,603,12,instruct_base,ppo_step116,-0.04526141285896301,1.0452613830566406,-0.21615085005760193,0.0003813882649410516,0.0013909453991800547
strict,18,6757,13,instruct_base,ppo_step116,-0.04249100759625435,1.0424909591674805,-0.04511333256959915,0.00031408443464897573,0.01669134385883808
strict,18,2836,14,instruct_base,ppo_step116,-0.0400799885392189,1.040079951286316,0.18104597926139832,8.973841613624245e-05,0.0013012069975957274
strict,18,3414,15,instruct_base,ppo_step116,-0.04000186547636986,1.0400018692016602,0.1685902327299118,4.4869208068121225e-05,0.0019069412956014276
strict,18,5322,16,instruct_base,ppo_step116,-0.039067432284355164,1.0390673875808716,-0.1366313248872757,0.0002019114326685667,0.0019518104381859303
strict,18,5048,17,instruct_base,ppo_step116,-0.03495614975690842,1.0349560976028442,0.3671738803386688,4.4869208068121225e-05,0.0010992955649271607
strict,18,476,18,instruct_base,ppo_step116,-0.033751290291547775,1.0337512493133545,-0.17964330315589905,0.0002019114326685667,0.0010095571633428335
strict,18,4042,19,instruct_base,ppo_step116,-0.033403825014829636,1.0334038734436035,-0.20210710167884827,0.0007179073290899396,0.0020639835856854916
